,bubbleSort1,bubbleSort2,bubbleSort3,bubbleSort4,bubbleSort5,insertionSort1,insertionSort2,insertionSort3,insertionSort4,insertionSort5,mergeSort1,mergeSort2,mergeSort3,mergeSort4,mergeSort5,quickSort1,quickSort2,quickSort3,quickSort4,quickSort5,selectSort1,selectSort2,selectSort3,selectSort4,selectSort5,sortedness
0,51.9792007526178,58.7584375,58.880484532828284,59.268229166666664,59.56640625,52.640625,58.8125,58.9296875,59.3125,59.56640625,58.6796875,58.81640625,59.1875,59.56640625,60.03515625,57.26927923387097,61.29876644736842,61.38219572368421,61.641398111979164,61.734038978494624,52.640625,58.8125,58.9296875,59.3125,59.56640625,99885
1,60.08546875,60.418862552966104,60.46875,60.47265625,60.47265625,60.0859375,60.4609375,60.46875,60.47265625,60.47265625,60.33984375,60.46875,60.47265625,60.47265625,60.5625,62.09460663377193,62.23929148706897,62.2563696509009,62.519386574074076,62.345680675287355,60.08984375,60.4609375,60.46875,60.47265625,60.47265625,446520
2,61.12113813920455,61.1484375,61.15625,61.15625,61.16015625,61.16015625,61.1484375,61.15625,61.15625,61.16015625,61.1484375,61.15625,61.15625,61.158203125,61.16015625,62.9938467920354,63.037606323964496,62.86860795454545,62.970040457589285,63.04842403017241,61.16015625,61.1484375,61.15625,61.15625,61.16015625,836909
3,61.1640625,61.15625,61.1640625,61.1640625,61.632677801724135,61.16796875,61.15625,61.1640625,61.1640625,61.640625,61.15625,61.1640625,61.1640625,61.1796875,61.640625,62.963344029017854,62.975132533482146,62.913828792735046,62.93648097826087,63.43806818181818,61.16796875,61.15625,61.1640625,61.1640625,61.640625,1700764
4,61.640625,61.6328125,61.640625,61.640625,61.640625,61.64453125,61.6328125,61.640625,61.640625,61.640625,61.6328125,61.640625,61.640625,61.640625,61.640625,63.420080236486484,63.418875558035715,63.45627074115044,63.4481981981982,63.45826480263158,61.64453125,61.6328125,61.640625,61.640625,61.640625,2094028
5,61.640625,61.6328125,61.640625,61.640625,62.0796210106383,61.64453125,61.6328125,61.640625,61.640625,62.0859375,61.6328125,61.640625,61.640625,61.640625,62.08984375,63.441015625,63.427490234375,63.44864341085271,63.471172480620154,63.77258403361345,61.64453125,61.6328125,61.640625,61.64058916284404,62.0859375,3692037
6,62.08984375,62.0859375,62.09375,62.09375,62.09765625,62.09765625,62.0859375,62.09375,62.09375,62.09765625,62.0859375,62.09375,62.09375,62.09765625,62.1015625,63.87722724780702,63.86798257743363,63.88682065217391,63.93217054263566,63.89117864173228,62.09765625,62.0859375,62.09375,62.09375,62.09765625,4947537
7,62.1015625,62.09765625,62.10546875,62.12109375,62.12109375,62.109375,62.09765625,62.10546875,62.12109375,62.12109375,62.09765625,62.10546875,62.12109375,62.12109375,62.12109375,63.944732666015625,63.86546505905512,63.899800145348834,63.880043143656714,63.94007457386363,62.109375,62.09765625,62.10546875,62.12109375,62.12109375,6346307
8,62.12109375,62.11328125,62.12109375,62.12493799603175,62.125,62.125,62.11328125,62.12109375,62.125,62.125,62.11328125,62.12109375,62.12109375,62.125,62.125,63.96587330426357,63.93376865671642,63.9074492872807,63.918282645089285,63.97046326754386,62.125,62.11328125,62.12109375,62.125,62.125,7745403
9,62.125,62.1171875,62.125,62.1328125,62.132783348880594,62.12890625,62.1171875,62.12456597222222,62.1328125,62.1328125,62.1171875,62.125,62.1328125,62.1328125,62.1328125,63.96347313596491,64.15335264900662,63.945242745535715,63.8073125,63.956263950892854,62.12890625,62.1171875,62.125,62.13277094414894,62.1328125,9039855
11,62.5781118476431,62.5703125,62.58203125,62.58203125,62.58203125,62.58203125,62.5703125,62.58203125,62.58203125,62.58203125,62.5703125,62.58203125,62.58203125,62.58203125,62.58203125,64.37890625,64.45294189453125,64.3740234375,64.33858625856165,64.42803697183099,62.58203125,62.5703125,62.58203125,62.58203125,62.58203125,14534855
10,62.1328125,62.125,62.56308109504132,62.57421875,62.57421875,62.13671875,62.125,62.5703125,62.57421875,62.57421875,62.125,62.1328125,62.57421875,62.57421875,62.578125,64.02665844298245,63.94669744318182,64.39875139508929,64.3668594942748,64.41046142578125,62.13671875,62.124957074175825,62.5703125,62.57421875,62.57421875,14647229
12,62.58203125,62.57421875,62.58203125,62.58203125,62.58203125,62.5859375,62.57421875,62.58203125,62.58203125,62.58203125,62.57421875,62.58203125,62.58203125,62.58203125,62.58203125,64.44121368838029,64.40983297413793,64.40872844827587,64.40817599826389,64.42144691780823,62.5859375,62.57421875,62.58203125,62.58203125,62.58203125,15103095
13,62.58203125,62.57421875,62.58589882425743,62.5859375,62.5859375,62.5859375,62.57421875,62.5859375,62.5859375,62.5859375,62.57421875,62.58203125,62.5859375,62.5859375,62.5859375,64.4534844708589,64.41650927197803,64.39341787439614,64.3875672387295,64.41428941908714,62.5859375,62.57421875,62.5859375,62.5859375,62.5859375,20987762
14,62.5859375,63.01607921511628,63.03515625,63.03515625,63.03515625,62.58984375,63.01953125,63.03515625,63.03515625,63.03515625,62.57421875,63.03515625,63.03515625,63.03515625,63.03515625,64.43515947830579,64.84919605809128,64.85322019432773,64.86158145920503,64.85551798844538,62.58984375,63.01953125,63.03515625,63.03515625,63.03515625,21099219
15,63.0390625,63.02734375,63.03515625,63.03515625,63.03515625,63.04296875,63.02734375,63.03515625,63.03515625,63.03515625,63.02734375,63.03515625,63.03515625,63.03515625,63.296875,64.8720569349315,64.86803977272727,64.87271484375,64.8530859375,64.85040436557789,63.04296875,63.02734375,63.03515625,63.03515625,63.03515625,24944164
