,bubbleSort1,bubbleSort2,bubbleSort3,bubbleSort4,bubbleSort5,insertionSort1,insertionSort2,insertionSort3,insertionSort4,insertionSort5,mergeSort1,mergeSort2,mergeSort3,mergeSort4,mergeSort5,quickSort1,quickSort2,quickSort3,quickSort4,quickSort5,selectSort1,selectSort2,selectSort3,selectSort4,selectSort5,sortedness
0,9.044125080108643,4.646471977233887,4.5798890590667725,4.576664924621582,4.608360052108765,0.002489805221557617,0.002456188201904297,0.0015909671783447266,0.002468109130859375,0.0024538040161132812,0.05813193321228027,0.05309891700744629,0.05948686599731445,0.05754208564758301,0.05154109001159668,4.34019923210144,4.213593006134033,4.345880031585693,4.30785608291626,4.227673768997192,3.6491429805755615,3.7461750507354736,3.590780019760132,3.621785879135132,3.5685160160064697,24448
1,8.957474946975708,4.507941007614136,4.542816162109375,4.373931884765625,4.501094818115234,0.001798868179321289,0.001901865005493164,0.0014159679412841797,0.0033600330352783203,0.002547025680541992,0.05714988708496094,0.0561070442199707,0.05557107925415039,0.05216503143310547,0.052641868591308594,4.216394901275635,4.091949939727783,4.342365026473999,4.286801099777222,4.23710298538208,3.6299848556518555,3.5443079471588135,3.595905065536499,3.6354219913482666,3.6426780223846436,106000
2,9.098138093948364,4.554872989654541,4.602183103561401,4.5805370807647705,4.617000102996826,0.0012521743774414062,0.0024421215057373047,0.0012581348419189453,0.0025048255920410156,0.002465963363647461,0.0590970516204834,0.06575393676757812,0.054717063903808594,0.060914039611816406,0.05732011795043945,4.319411993026733,4.269562005996704,4.334947109222412,4.273408889770508,4.342797040939331,3.777745008468628,3.6432268619537354,3.648866891860962,3.6005871295928955,3.4799158573150635,187985
3,9.287490129470825,4.524692058563232,4.519841909408569,4.475908994674683,4.411240100860596,0.002505064010620117,0.0024788379669189453,0.002473115921020508,0.002457141876220703,0.0025429725646972656,0.0550389289855957,0.05709195137023926,0.055207014083862305,0.05894112586975098,0.05527615547180176,4.3637590408325195,4.42667293548584,4.22623085975647,4.262603998184204,4.390138864517212,3.5988059043884277,3.632581949234009,3.6089649200439453,3.6266422271728516,3.6563880443573,407044
4,9.132475137710571,4.570436954498291,4.590459108352661,5.011789083480835,5.040850877761841,0.0024139881134033203,0.0024509429931640625,0.0024890899658203125,0.002412080764770508,0.0024750232696533203,0.05518198013305664,0.05796194076538086,0.06162595748901367,0.06246209144592285,0.06278109550476074,4.342115163803101,4.377748012542725,4.762507915496826,4.831700086593628,5.048263072967529,3.6371707916259766,3.707479953765869,3.9111289978027344,4.165300130844116,4.125711917877197,649800
5,10.403938055038452,5.190299987792969,5.066626071929932,5.586266040802002,5.821871995925903,0.002498149871826172,0.002541065216064453,0.002546072006225586,0.0024759769439697266,0.0026159286499023438,0.06325483322143555,0.0621340274810791,0.0623478889465332,0.06325507164001465,0.06926107406616211,4.869733095169067,4.732897043228149,5.072158098220825,5.4609057903289795,5.483452081680298,4.1879260540008545,4.286182880401611,4.126956939697266,4.705770969390869,4.694486141204834,866808
6,12.320604801177979,6.480783939361572,6.671391010284424,7.263435125350952,7.640996217727661,0.002485990524291992,0.003063201904296875,0.0024979114532470703,0.002804994583129883,0.002444028854370117,0.0821690559387207,0.0820000171661377,0.08904790878295898,0.09504985809326172,0.10460996627807617,5.979116916656494,6.390469074249268,6.693016052246094,6.9410200119018555,7.538548946380615,4.816330909729004,5.369269132614136,5.226223945617676,6.0389368534088135,6.194500923156738,1264408
7,16.28822898864746,7.683072090148926,7.639631032943726,7.761420011520386,7.70720100402832,0.002431154251098633,0.0025148391723632812,0.002629995346069336,0.002574920654296875,0.006264925003051758,0.09447693824768066,0.0937349796295166,0.09649491310119629,0.09423089027404785,0.1009371280670166,7.257714033126831,7.424418926239014,7.351747035980225,7.28222918510437,7.3513500690460205,6.171421051025391,6.244874954223633,6.173339128494263,6.1692211627960205,6.238635063171387,1732887
8,15.946390867233276,7.665361166000366,7.697527885437012,7.649719953536987,7.6054298877716064,0.0025048255920410156,0.002535104751586914,0.0040760040283203125,0.0024590492248535156,0.0025560855865478516,0.09317994117736816,0.09397006034851074,0.09542298316955566,0.09032583236694336,0.10793089866638184,7.34549880027771,7.383206129074097,7.300666809082031,7.356682062149048,7.343603134155273,6.177826881408691,6.141129016876221,6.1819469928741455,6.140581130981445,6.117681980133057,2164336
10,15.90117597579956,7.66756796836853,7.650145053863525,7.575854063034058,7.604977130889893,0.007507801055908203,0.002468109130859375,0.002490997314453125,0.0025720596313476562,0.0025107860565185547,0.08370685577392578,0.09511899948120117,0.08649611473083496,0.10306000709533691,0.10347700119018555,7.268337965011597,7.290439128875732,7.453893184661865,7.300228118896484,7.262190103530884,6.075009107589722,6.18635106086731,6.241328001022339,6.14805793762207,6.1682329177856445,2805273
