,bubbleSort1,bubbleSort2,bubbleSort3,bubbleSort4,bubbleSort5,insertionSort1,insertionSort2,insertionSort3,insertionSort4,insertionSort5,mergeSort1,mergeSort2,mergeSort3,mergeSort4,mergeSort5,quickSort1,quickSort2,quickSort3,quickSort4,quickSort5,selectSort1,selectSort2,selectSort3,selectSort4,selectSort5,sortedness
0,130.7544833096591,130.75009084302326,130.8359375,130.96484375,130.97265625,130.50334821428572,130.8359375,130.83984375,130.96875,130.97265625,130.58203125,130.8359375,130.96484375,130.97228422619048,130.9765625,130.52890625,130.8359375,130.96484375,130.96875,130.9765625,130.50390625,130.8359375,130.9208386479592,130.96875,130.9765625,95120
1,130.9765625,131.06234859496124,131.109375,131.109375,131.109375,130.9765625,131.109375,131.109375,131.109375,131.109375,130.98046875,131.109375,131.109375,131.109375,131.109375,130.98046875,131.109375,131.109375,131.109375,131.109375,130.98046875,131.109375,131.109375,131.109375,131.109375,369560
2,131.2075981610338,131.23046875,131.23046875,131.23046875,131.23046875,131.23046875,131.23046875,131.23046875,131.23046875,131.23046875,131.23046875,131.23046875,131.23046875,131.23046875,131.23046875,131.23046875,131.23046875,131.23046875,131.23046875,131.23046875,131.23046875,131.23046875,131.23046875,131.23046875,131.23046875,730564
3,131.23046875,131.23046875,131.23046875,131.234375,131.234375,131.23046875,131.23046875,131.23046875,131.234375,131.234375,131.23046875,131.23046875,131.234375,131.234375,131.234375,131.23046875,131.23046875,131.234375,131.234375,131.234375,131.23046875,131.23046875,131.23046875,131.234375,131.234375,1060577
5,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,1513354
4,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,2095398
6,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,3378721
7,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,131.234375,6585192
8,131.3341429814385,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,6697812
9,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,8873167
10,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36328125,131.36325073242188,10651533
